URI,count,type
http://eagle-i.org/ont/app/1.0/,655,subject
http://eagle-i.org/ont/repo/1.0/,5,subject
http://montana.eagle-i.net/i/,12305,subject
http://purl.obolibrary.org/obo/,2721,subject
http://vivoweb.org/ontology/core#,11,subject
http://www.ebi.ac.uk/efo/swo/,47,subject
http://www.ebi.ac.uk/swo/license/,1,subject
http://xmlns.com/foaf/0.1/,152,subject
http://eagle-i.org/ont/app/1.0/,5,object
http://eagle-i.org/ont/repo/1.0/,801,object
http://global.eagle-i.net/i/,180,object
http://montana.eagle-i.net/i/,4358,object
http://purl.bioontology.org/ontology/MSH/,3,object
http://purl.obolibrary.org/obo/,1347,object
http://vivoweb.org/ontology/core#,105,object
http://www.ebi.ac.uk/efo/swo/,31,object
http://www.ebi.ac.uk/swo/license/,20,object
http://xmlns.com/foaf/0.1/,76,object
